Date,Contact,Amount,Nominal
2025-04-01,ARK Hards-Figgins,-17.25,Personal Spend
2025-04-01,Tee,185.52,Personal Spend
2025-04-02,Clr*surreyheath.G,-185.52,Personal Spend
2025-04-05,B&M,-6.34,Personal Spend
2025-04-05,Efkaristo Ltd.,20.0,Personal Spend
2025-04-05,McDonald's,-8.49,Personal Spend
2025-04-05,Worldpay AP Limited,90.0,Personal Spend
2025-04-06,Prime Video,-4.49,Personal Spend
2025-04-06,Bet365,-20.0,Personal Spend
2025-04-06,McDonald's,-18.92,Personal Spend
2025-04-06,Microsoft,-14.99,Personal Spend
2025-04-07,Amazon,-13.28,Personal Spend
2025-04-07,Amazon,-9.49,Personal Spend
2025-04-07,Efkaristo Ltd.,100.0,Personal Spend
2025-04-07,Three,-31.04,Personal Spend
2025-04-07,Three,-29.0,Personal Spend
2025-04-08,Efkaristo Ltd.,21.65,Personal Spend
2025-04-09,Informdirect,-21.65,Personal Spend
2025-04-09,Amazon Marketplace,-32.99,Personal Spend
2025-04-09,Efkaristo Ltd.,100.0,Personal Spend
2025-04-09,Three,-48.42,Personal Spend
2025-04-09,Three,-27.0,Personal Spend
2025-04-09,Just Eat UK,-32.72,Personal Spend
2025-04-10,Ancestry,-3.5,Personal Spend
2025-04-10,Efkaristo Ltd.,25.0,Personal Spend
2025-04-10,Bet365,-10.0,Personal Spend
2025-04-11,Waitrose,-23.3,Personal Spend
2025-04-11,Amazon,-19.99,Personal Spend
2025-04-12,Amazon,-6.5,Personal Spend
2025-04-14,Efkaristo Ltd.,20.0,Personal Spend
2025-04-14,Competition Line,-19.99,Personal Spend
2025-04-14,Natasha Adams,8.63,Personal Spend
2025-04-14,Efkaristo Ltd.,185.52,Personal Spend
2025-04-14,Efkaristo Ltd.,650.0,Personal Spend
2025-04-14,Tee,-835.52,Personal Spend
2025-04-15,Efkaristo Ltd.,140.11,Personal Spend
2025-04-16,Flow Insurance,-140.11,Personal Spend
2025-04-17,Efkaristo Ltd.,100.0,Personal Spend
2025-04-17,Capital One,-50.0,Personal Spend
2025-04-17,Michael Hards Natwest,452.41,Personal Spend
2025-04-17,Efkaristo Ltd.,250.0,Personal Spend
2025-04-18,Amazon Prime,-8.99,Personal Spend
2025-04-18,Microsoft,-9.99,Personal Spend
2025-04-18,Efkaristo Ltd.,150.0,Personal Spend
2025-04-18,Court Enforcement Services,-100.0,Personal Spend
2025-04-19,McDonald's,-32.91,Personal Spend
2025-04-19,Ubisoft,-14.99,Personal Spend
2025-04-21,Costco,-9.07,Personal Spend
2025-04-22,Vivid Housing,-680.55,Personal Spend
2025-04-23,Amazon,-19.99,Personal Spend
2025-04-23,Screwfix,-4.99,Personal Spend
2025-04-29,Portsmouthfc,-4.5,Personal Spend
2025-04-30,Efkaristo Ltd.,238.29,Personal Spend
2025-05-02,High Score Bracknell,-5.95,Personal Spend
2025-05-02,Amazon,-7.19,Personal Spend
2025-05-02,Co-op,-3.1,Personal Spend
2025-05-03,Amazon Marketplace,-19.95,Personal Spend
2025-05-03,Anc*ancestry,-3.5,Personal Spend
2025-05-03,Screwfix,-11.99,Personal Spend
2025-05-04,Efkaristo Ltd.,200.0,Personal Spend
2025-05-06,Prime Video,-4.49,Personal Spend
2025-05-06,Paypal,-12.99,Personal Spend
2025-05-06,Paypal,-15.99,Personal Spend
2025-05-06,Efkaristo Ltd.,100.0,Personal Spend
2025-05-07,Three,-31.04,Personal Spend
2025-05-07,Sky,-163.0,Personal Spend
2025-05-07,Amazon,-8.0,Personal Spend
2025-05-07,Temu,-22.95,Personal Spend
2025-05-08,Three,-30.61,Personal Spend
2025-05-08,Paypal,-4.99,Personal Spend
2025-05-09,Efkaristo Ltd.,100.0,Personal Spend
2025-05-09,Three,-48.42,Personal Spend
2025-05-09,Microsoft,-14.99,Personal Spend
2025-05-12,Three,-28.73,Personal Spend
2025-05-12,Morrisons,-18.55,Personal Spend
2025-05-13,Efkaristo Ltd.,30.0,Personal Spend
2025-05-14,Efkaristo Ltd.,20.0,Personal Spend
2025-05-14,Competition Line,-19.99,Personal Spend
2025-05-14,Tee,2.0,Personal Spend
2025-05-15,Steam,-21.24,Personal Spend
2025-05-18,Amazon Prime,-8.99,Personal Spend
2025-05-18,Efkaristo Ltd.,150.0,Personal Spend
2025-05-18,Michael Hards Natwest,389.72,Personal Spend
2025-05-19,Amazon Marketplace,-15.99,Personal Spend
2025-05-19,Capital One,-50.0,Personal Spend
2025-05-19,ALDI,-6.03,Personal Spend
2025-05-19,Flow Insurance,-109.97,Personal Spend
2025-05-19,Ubisoft,-14.99,Personal Spend
2025-05-20,Efkaristo Ltd.,-30.0,Personal Spend
2025-05-21,McDonald's,-5.37,Personal Spend
2025-05-22,Steam,-34.99,Personal Spend
2025-05-23,Tee,27.58,Personal Spend
2025-05-23,Tee,-27.58,Personal Spend
2025-05-26,Amazon,-6.69,Personal Spend
2025-05-28,Steam,-12.99,Personal Spend
2025-05-28,Efkaristo Ltd.,22.75,Personal Spend
2025-05-28,Efkaristo Ltd.,-60.0,Personal Spend
2025-05-28,Efkaristo Ltd.,-90.0,Personal Spend
2025-05-28,Co-op,-11.85,Personal Spend
