Date,Contact,Amount,Nominal
2024-10-09,Looka - Looka - 3742FD69-0004,8.99,Advertising
2024-11-21,Looka,8.99,Advertising
2024-12-11,Looka,8.99,Advertising
2025-01-05,Ovolu,9.7,Advertising
2025-01-10,Looka,8.99,Advertising
2025-02-10,Looka,8.99,Advertising
2025-03-11,Looka,8.99,Advertising
2025-04-10,Looka,8.99,Advertising
2025-05-10,Looka,8.99,Advertising
2025-06-10,Looka,8.99,Advertising
2025-06-14,Mailerlite,9.23,Advertising
2024-09-10,Intuit QuickBooks,22.8,CoGS
2024-09-30,Keypay - Employment Hero - INV00507044,40.92,CoGS
2024-10-11,Intuit QuickBooks,22.8,CoGS
2024-10-31,Keypay - Employment Hero - INV00518959,71.22,CoGS
2024-11-04,Intuit QuickBooks,-10.8,CoGS
2024-12-11,Intuit QuickBooks,6.0,CoGS
2025-01-15,Intuit QuickBooks,6.0,CoGS
2025-02-10,Intuit QuickBooks,7.2,CoGS
2025-03-13,Intuit QuickBooks,7.2,CoGS
2025-04-10,Intuit QuickBooks,7.2,CoGS
2025-05-13,Intuit QuickBooks,7.2,CoGS
2025-06-10,Intuit QuickBooks,7.2,CoGS
2024-09-14,Currys,12.99,Computer Equipment
2024-10-07,Raylo,53.51,Computer Equipment
2024-10-27,Stormforce,19.99,Computer Equipment
2024-11-06,Raylo,53.51,Computer Equipment
2024-11-21,Amazon,149.41,Computer Equipment
2024-12-06,Raylo,53.51,Computer Equipment
2025-01-06,Raylo,53.51,Computer Equipment
2025-01-12,Amazon,16.99,Computer Equipment
2025-01-15,Amazon,36.22,Computer Equipment
2025-01-27,Amazon,6.85,Computer Equipment
2025-02-06,Raylo,53.51,Computer Equipment
2025-02-10,Amazon,17.46,Computer Equipment
2025-03-06,Raylo,53.51,Computer Equipment
2025-04-02,Amazon,101.97,Computer Equipment
2025-04-05,Amazon,11.99,Computer Equipment
2025-04-07,Raylo,53.51,Computer Equipment
2025-04-11,Amazon,39.99,Computer Equipment
2025-04-12,Amazon,31.99,Computer Equipment
2025-05-02,Amazon,35.99,Computer Equipment
2025-05-04,Amazon,109.99,Computer Equipment
2025-05-08,Raylo,82.51,Computer Equipment
2025-05-12,Amazon,16.98,Computer Equipment
2025-05-12,Amazon,12.95,Computer Equipment
2025-05-13,Amazon,22.48,Computer Equipment
2025-06-06,Raylo,53.51,Computer Equipment
2024-09-01,Futrli - Sage Global Services - 49441,42.0,Direct Expenses
2024-09-02,Client Engager - Engager Online - ENGAGER8922,39.6,Direct Expenses
2024-09-03,Xero,196.02,Direct Expenses
2024-09-07,Toggl - Toggl OU - TOGGL-1212166,18.28,Direct Expenses
2024-09-08,Inform Direct - Inform Direct - 523998,16.45,Direct Expenses
2024-09-09,Slack Technologies - Slack Technologies - SBIE-6879928,8.4,Direct Expenses
2024-09-09,Iris,31.2,Direct Expenses
2024-09-11,Adobe Systems Software,16.24,Direct Expenses
2024-09-12,Inform Direct - Inform Direct - 525348,34.0,Direct Expenses
